v_primary_V,v_secondary_V,i_load_A,temp_oil_C,temp_winding_C,temp_ambient_C,oil_level_pct,v_ratio_dev_pct,load_pct,delta_temp_C,apparent_power_VA,fault_label,fault_name
230.37,11.86,4.873,65.92,96.03,29.46,83.19,1.286,24.37,30.11,57.82,1,Overheating
233.93,11.89,2.895,48.98,67.67,30.52,42.76,2.583,14.47,18.69,34.42,2,Low_Oil_Level
231.46,12.34,3.072,55.04,70.31,30.84,48.32,2.169,15.36,15.28,37.9,2,Low_Oil_Level
224.82,12.14,5.949,58.38,86.2,32.6,82.71,3.496,29.75,27.82,72.22,1,Overheating
231.82,11.93,3.157,42.92,54.49,26.79,81.51,1.383,15.78,11.56,37.65,0,Normal
235.66,12.18,2.865,38.12,53.82,29.43,92.01,0.906,14.32,15.7,34.91,0,Normal
227.43,12.03,2.99,40.81,50.68,35.85,85.81,1.347,14.95,9.87,35.96,0,Normal
228.8,12.2,2.809,59.81,68.56,35.35,41.65,2.168,14.05,8.75,34.26,2,Low_Oil_Level
233.34,11.88,2.939,50.25,67.49,34.64,36.14,2.438,14.69,17.24,34.9,2,Low_Oil_Level
229.61,11.88,4.476,57.79,82.53,35.13,76.45,0.794,22.38,24.74,53.2,1,Overheating
234.97,11.82,2.885,50.88,72.01,31.8,27.87,3.569,14.43,21.13,34.11,2,Low_Oil_Level
227.85,12.29,2.72,44.34,56.11,33.5,87.49,3.374,13.6,11.77,33.43,0,Normal
230.84,11.84,3.277,41.72,55.85,29.77,81.14,1.714,16.39,14.12,38.79,0,Normal
226.76,12.06,2.995,42.02,54.4,31.29,84.4,1.971,14.98,12.38,36.13,0,Normal
211.98,10.01,11.129,59.51,90.87,30.78,82.06,9.46,55.64,31.36,111.44,3,Overcurrent_Short_Circuit
211.6,10.16,10.97,62.59,79.66,31.17,80.78,7.944,54.85,17.07,111.48,3,Overcurrent_Short_Circuit
233.54,11.76,5.58,71.03,94.6,28.24,81.97,3.473,27.9,23.58,65.63,1,Overheating
219.6,8.65,8.861,51.8,68.58,32.02,82.61,24.486,44.3,16.78,76.66,3,Overcurrent_Short_Circuit
231.16,12.62,5.546,60.6,91.43,32.77,81.47,4.602,27.73,30.82,69.97,1,Overheating
229.07,11.56,5.196,65.72,102.27,29.99,80.82,3.257,25.98,36.55,60.08,1,Overheating
228.32,11.24,2.983,44.88,53.21,33.68,85.06,5.638,14.91,8.32,33.53,0,Normal
212.64,9.52,8.908,61.07,95.74,30.68,83.5,14.182,44.54,34.66,84.82,3,Overcurrent_Short_Circuit
228.9,12.1,6.757,64.32,83.24,33.2,78.83,1.33,33.78,18.92,81.77,1,Overheating
229.22,11.98,2.873,39.03,54.1,24.92,82.44,0.14,14.36,15.07,34.41,0,Normal
247.08,14.2,3.13,38.54,68.94,33.35,83.21,10.13,15.65,30.4,44.44,4,Voltage_Fault
235.73,11.83,3.145,40.12,49.59,33.33,81.37,3.775,15.73,9.47,37.22,0,Normal
193.76,9.27,3.097,43.71,59.39,31.33,90.11,8.34,15.49,15.68,28.7,4,Voltage_Fault
227.97,12.45,2.946,43.72,55.8,34.98,84.13,4.651,14.73,12.08,36.68,0,Normal
245.2,13.58,3.045,40.54,62.9,35.28,89.05,6.181,15.23,22.35,41.37,4,Voltage_Fault
228.06,11.57,2.942,46.59,56.68,32.34,84.32,2.726,14.71,10.09,34.05,0,Normal
227.66,12.08,6.679,65.13,81.88,29.66,81.65,1.677,33.39,16.76,80.66,1,Overheating
235.49,12.04,2.902,41.77,52.87,32.37,83.01,2.0,14.51,11.1,34.95,0,Normal
250.0,14.1,3.013,35.92,73.56,34.2,84.52,1.318,15.06,37.64,42.47,4,Voltage_Fault
242.71,13.58,3.001,43.13,60.83,34.19,88.92,7.239,15.0,17.7,40.75,4,Voltage_Fault
230.38,12.38,4.877,55.97,104.71,31.0,79.69,3.004,24.38,48.74,60.38,1,Overheating
227.56,11.6,3.036,53.58,74.71,32.85,33.08,2.266,15.18,21.13,35.23,2,Low_Oil_Level
220.08,9.82,8.738,59.26,80.98,31.56,86.22,14.505,43.69,21.72,85.78,3,Overcurrent_Short_Circuit
248.5,13.34,3.188,39.41,70.67,30.43,87.35,2.914,15.94,31.26,42.54,4,Voltage_Fault
250.0,14.21,3.042,41.84,69.93,31.8,83.26,8.563,15.21,28.09,43.23,4,Voltage_Fault
230.11,11.89,3.127,50.78,65.02,31.02,40.68,0.957,15.63,14.24,37.18,2,Low_Oil_Level
218.68,9.52,8.962,54.73,99.42,29.24,90.63,16.548,44.81,44.69,85.33,3,Overcurrent_Short_Circuit
250.0,13.52,2.945,44.96,67.12,29.05,85.58,1.663,14.72,22.16,39.81,4,Voltage_Fault
229.12,11.69,2.926,42.1,58.21,32.04,83.24,2.185,14.63,16.11,34.22,0,Normal
234.07,11.66,2.913,42.96,52.47,31.49,84.18,4.489,14.56,9.5,33.97,0,Normal
232.95,11.99,3.333,39.1,60.4,28.93,83.27,1.35,16.66,21.31,39.96,0,Normal
225.88,7.16,11.784,50.72,89.88,29.55,84.16,39.273,58.92,39.16,84.34,3,Overcurrent_Short_Circuit
206.6,9.36,10.18,60.16,92.66,30.82,84.69,13.195,50.9,32.5,95.25,3,Overcurrent_Short_Circuit
250.0,13.63,2.914,42.02,64.05,31.87,87.52,0.648,14.57,22.03,39.7,4,Voltage_Fault
223.15,10.03,11.852,54.85,99.19,29.3,81.63,13.875,59.26,44.33,118.84,3,Overcurrent_Short_Circuit
224.84,11.5,2.91,52.79,67.79,29.05,49.64,1.936,14.55,15.01,33.47,2,Low_Oil_Level
250.0,13.04,3.147,47.56,56.21,32.74,88.6,0.14,15.74,8.65,41.05,4,Voltage_Fault
250.0,13.64,3.283,40.77,60.38,33.38,83.88,1.355,16.42,19.62,44.77,4,Voltage_Fault
230.42,12.47,3.085,47.76,70.6,32.82,27.79,3.734,15.43,22.85,38.47,2,Low_Oil_Level
228.53,11.88,3.144,54.89,64.19,34.95,33.56,0.331,15.72,9.31,37.36,2,Low_Oil_Level
230.93,12.33,6.198,55.05,80.86,31.12,78.56,2.298,30.99,25.81,76.39,1,Overheating
212.98,8.14,10.438,55.12,71.92,27.15,86.41,26.755,52.19,16.8,84.96,3,Overcurrent_Short_Circuit
229.11,11.44,6.403,62.26,92.28,34.78,74.75,4.316,32.02,30.02,73.24,1,Overheating
229.26,12.18,2.965,41.71,58.95,30.08,84.51,1.813,14.82,17.24,36.11,0,Normal
232.25,12.34,4.822,68.91,77.93,31.72,85.83,1.807,24.11,9.02,59.49,1,Overheating
233.57,11.91,3.236,46.68,72.28,27.51,47.47,2.286,16.18,25.6,38.54,2,Low_Oil_Level
227.77,11.75,3.062,47.65,67.89,33.22,35.57,1.121,15.31,20.24,35.98,2,Low_Oil_Level
250.0,12.81,3.168,42.38,66.99,33.82,84.29,2.844,15.84,24.62,40.57,4,Voltage_Fault
250.0,14.41,2.875,41.28,66.64,31.88,83.72,10.04,14.38,25.35,41.43,4,Voltage_Fault
